ID;city;lat;lng;admin;capital;patrim;nomeavel
259;Marinha Grande;39,747691;-8,932284;Leiria;minor;Nao;Nao
260;Cinfaes;41,071969;-8,089991;Viseu;minor;Nao;Nao
261;Borba;38,80553;-7,45465;evora;minor;Nao;Nao
262;Mira;40,428924;-8,737462;Coimbra;minor;Nao;Nao
263;Silves;37,189213;-8,438217;Faro;minor;Nao;Sim
264;Grandola;38,177181;-8,566746;Setubal;minor;Nao;Sim
265;Campo Maior;39,017742;-7,064967;Portalegre;minor;Nao;Sim
266;Ferreira do Alentejo;38,05;-8,033333;Beja;minor;Nao;Nao
267;Miranda do Douro;41,496921;-6,273077;Braganca;minor;Nao;Nao
268;Mirandela;41,487385;-7,186949;Braganca;minor;Nao;Nao
269;Chaves;41,740186;-7,468789;Vila Real;minor;Nao;Nao
270;Sines;37,956215;-8,869788;Setubal;minor;Nao;Nao
271;Mondim de Basto;41,411566;-7,954414;Vila Real;minor;Nao;Nao
272;Moncao;42,078471;-8,481452;Viana do Castelo;minor;Nao;Nao
273;Castro Marim;37,220683;-7,4435;Faro;minor;Nao;Nao
274;Castro Daire;40,898399;-7,933805;Viseu;minor;Nao;Nao
275;Arganil;40,218261;-8,054029;Coimbra;minor;Nao;Nao
276;Olhao;37,0286;-7,841101;Faro;minor;Nao;Nao
277;Cadaval;39,242977;-9,103271;Lisboa;minor;Nao;Nao
278;Loures;38,829082;-9,168106;Lisboa;minor;Nao;Nao
279;Salvaterra de Magos;39,027881;-8,793502;Santarem;minor;Nao;Nao
280;Peso da Regua;41,164912;-7,787034;Vila Real;minor;Nao;Nao
281;Serpa;37,945811;-7,597537;Beja;minor;Nao;Nao
282;Sabugal;40,351267;-7,091036;Guarda;minor;Nao;Nao
283;Ansiao;39,911774;-8,435683;Leiria;minor;Nao;Nao
284;Vila Real de Santo Antonio;37,194999;-7,417658;Faro;minor;Nao;Nao
285;Porto de Mos;39,601911;-8,818389;Leiria;minor;Nao;Nao
